Formation,Member,max_age,min_age,Potential Error Top,Potential Error Base,Reference for age data,Depositional environment,Constraint Type,Other Notes,Location,,
Marshalltown,,74.1,69.9,0.1,0.1,"Sugarman et al, 1995, Uppermost Campanian–Maestrichtian strontium isotopic, biostratigraphic, and sequence stratigraphic framework of the New Jersey Coastal Plain",Marine,"Radiometric dating, magnetostratigraphy, biostratigraphy",,EC,,
Masuk,,81.5,78,1,1,"Corbett et al, 2011. Stratigraphy of a Cretaceous coastal-plain fluvial succession: the Campanian Masuk Formation, Henry Mountains syncline, Utah, USA. Journal of Sedimentary Research, 81(2), 80-96; Hess and Fielding, 2020. Analysis of coastal-plain fluvial architecture and high-frequency stacking patterns in the Upper Cretaceous Masuk Formation, Utah, USA: Climate-driven cyclicity?, Journal of Sedimentary Research, 90(10), 1265-1285; Seymour, D.L. and Fielding, C.R., 2013. High Resolution Correlation of the Upper Cretaceous Stratigraphy Between the Book Cliffs and the Western Henry Mountains Syncline, Utah, Journal of Sedimentary Research, 83(6), 475-494.",Terrestrial/shallow marine,"Biostratigraphy, Stratigraphic correlation, radiometric dating","Numerous papers on this formation, which is close correlate of the Blackhawk Formation. Have taken age estimates from Hess and Fielding (2020)",WI,,
Matanuska,Member 3,84,70,2,2,"Jones, 1963, Upper Cretaceous (Campanian and Maestrichtian) Ammonites From Southern Alaska; Pasch and May, 1997, First occurrence of a hadrosaur (Dinosauria) from the Matanuska Formation (Turonian) in the Talkeetna Mountains of south-central Alaska",Marine,Biostratigraphy,Poor constraint - resolution only to sub-Stage level (Campanian to early Maastrichtian),NWT,,
Matanuska,Member 4,93.9,89.8,2,2,"Jones, 1963, Upper Cretaceous (Campanian and Maestrichtian) Ammonites From Southern Alaska; Pasch and May, 1997, First occurrence of a hadrosaur (Dinosauria) from the Matanuska Formation (Turonian) in the Talkeetna Mountains of south-central Alaska",Marine,Biostratigraphy,Poor constraint - resolution only to Stage level (Turonian),NWT,,
McDermott,,69.84,68.94,0.75,1.1,"Pecha et al., 2018, Provenance of Cretaceous through Eocene strata of gthe Four Corners region: Insights from detreital zircons in the San Juan Basin, New Mexico and Colorado; Fowler, 2017; Lehman, 1985, Depositional environments of the Naashoibito Member of the Kirtland Shale, Upper Cretaceous, San Juan Basin, New Mexico; O'Shea, 2009, Volcanic influence over fluvial sedimentation in the Cretaceous McDermott Member, Animas Formation, Southwestern Colorado",Terrestrial,"Biostratigraphy, stratigraphy, magnetostratigraphy, radiometric dating",Relatively controversial deposit - see Fowler (2017) for further details. Dates taken from detreital zircons mentioned in Pecha et al. 2018. Same as Animas.,WI,,
McRae,,76.1,66,2,1,"Amato et al., 2017, Onset of the Laramide orogeny and associated magmatism in southern New Mexico based on U-Pb geochronology",Terrestrial,"Radiometric dating, biostratigraphy","amato et al. (2017) has shifted age of formation back to Campanian based on dating of tuff deposits. Upper limit is set by specimens of T. Rex, suggesting between 66-68 Ma. ",WI,,
Medicine Bow,,71,67,1,1,"Fox, 1971, Invertebrate fossils and environments of the Fox Hills and Medicine Bow formations (Late Cretaceous) in South-central Wyoming; Wroblewski, 2003, THE ROLE OF THE HANNA BASIN IN REVISED PALEOGEOGRAPHIC RECONSTRUCTIONS OF THE WESTERN INTERIOR SEA DURING THE CRETACEOUS-TERTIARY TRANSITION; Wroblewski, 2006, RELATIVE INFLUENCES OF TECTONISM, CLIMATE, AND SEA LEVEL ON VALLEY INCISION AND SEDIMENTARY FILL: NEW INSIGHTS FROM UPPER CRETACEOUS AND PALEOCENE EXAMPLES",Terrestrial,Unknown,"Taken from Wroblewski, 2006 - however, references Fox (1971) unpublished PhD thesis as source for age. No other available info. ",WI,,
Meeteetse,,73.41,69.5,0.5,0.47,"Lynds and Slattery, 2017, Correlation of the Upper Cretaceous strata of Wyoming, Open File Report 2017-3; May et al, 2013, Detreital zircon geochronology from the Bighorn Basin, Wyoming, USA: Implication for tectonostratigraphic evolution and paleogeography, GSA Bulletin, 125(9-10), 1403-1422; Hannon et al, 2021, Tracking 40 million years of migrating magmatism across the Idaho batholith using zircon U-Pb ages and Hf isotopes from Cretaceous Bentonites, Minerals, 11, 1011",Terrestrial/shallow marine,"Radiometric Dating, biostratigraphy, stratigraphy","Range of ages suggested for top boundary. Lynds and Slattery suggest approximately 69.5 Ma, whereas radiometric dates from Bentonites suggest 67 with 2.5 Ma +/-. As such, has gone with 69.5 Ma as these would appropriately line up. ",WI,,
Menefee,,84,78.22,0.26,1,"McDonald and Wolfe, 2018, A new nodosaurid ankylosaur (Dinosauria: Thyreophora) from the Upper Cretaceous Menefee Formation of New Mexico",Terrestrial,"Radiometric dating, biostratigraphy","Relatively poor constraint still. Top is more accurate, base correlated to marine biostrat zones.",WI,,
Merchantville,,83.9,77.8,0.5,0.5,"Miller et al., 2004, Upper Cretaceous sequences and sea-level history, New Jersey Coastal Plain",Marine,"Radiometric dating, biostratigraphy",,EC,,
Mesaverde,,82.75,73.25,1,1,"Finn, 2007, Subsurface Stratigraphic Cross Sections of Cretaceous and Lower Tertiary Rocks in the Wind River Basin, Central Wyoming; Demar Jr. & Breithaupt, 2006, The nonmammalian vertebrate microfossil assemblages of the Mesaverde Formation (upper Cretaceous, Campanian) of the Wind River and Bighorn Basins, Wyoming",Terrestrial/shallow marine,"Radiometric Dating, biostratigraphy, stratigraphy","Dinosaur bonebed has been confined to Baculites gregoryensis (Demar Jr. and Breithaupt, 2006) - full formation stretches longer. Constraint not explicitly referenced - assuming stratigraphic relationships in Finn (2007)",WI,,
Milk River,Deadhorse Coulee,84,82,,,"Mumpy and Catuneau, 2018, Controls on accommodation during the early-middle Campanian in southern Alberta, western Canada foreland system",Terrestrial,,,WI,,
Mooreville Chalk,,86,79.5,0.5,0.5,"Puckett, 2005, Santonian-Maastrichtian planktonic foraminiferal and ostracod biostratigraphy of the northern Gulf Coastal Plain; Simmons, 2018, Sequence Stratigraphy of CampanianMaastrichtian
Strata in Eastern Alabama; Martin and Stewart, 1981, An ichthyornithiform bird from the Campanian of Canada;  Kiernan, 2002, Stratigraphic distribution and habitat segregation of mosasaurs in the Upper Cretaceous of western and central Alabama, with an historical review of alabama mosasaur discoveries; Schwimmer et al, 1993,  LATE CRETACEOUS DINOSAURS FROM THE BLUFFTOWN FORMATION IN WESTERN GEORGIA AND EASTERN ALABAMA",Shallow marine,"Stratigraphy, biostratigraphy",Base is equivalent to beginning of TST of TR-6. Lateral equivalent to Blufftown Formation,GC,,
Moreno Hill,,92.9,89.8,1,1,"Molenaar et al., 2002, Regional Stratigraphic Cross Sections of Cretaceous Rocks from East-central Arizona to the Oklahoma Panhandle",Terrestrial,Biostratigraphy,"Age generally uncertain, particularly top. Followed correlation by Molenaar - however, note Fowler (2017) suggests mid-Turonian age instead of basal Turonian. ",WI,,
Mount Laurel,,71,69.4,0.5,0.5,"Sugarman et al, 1995, Uppermost Campanian–Maestrichtian strontium isotopic, biostratigraphic, and sequence stratigraphic framework of the New Jersey Coastal Plain",Marine,"Radiometric dating, biostratigraphy",Virtually co-eval with Wenonah formation - vary in proportions across NJ region.,EC,,
Nanushuk,,110.4,98.2,2,0.9,"Shimer et al., 2016, 40Ar/39Ar ages and geochemical characterization of Cretaceous bentonites in the Nanushuk, Seabee, Tuluvak, and Schrader Bluff formations, North Slope, Alaska",Terrestrial,"Radiometric dating, biostratigraphy","Well constrained base from biostratigraphy and Ar dating. Top is constained between two radiometric dates from Nunukshuk and Seabee formations (98.2 and 102.4), placing boundary around Alb/Cen boundary",NWT,,
Navesink,,72,66,1,1,"Ross and Fastovsky, 2006, Trans-Atlantic Correlation of Upper Cretaceous Marine Sediments; Kennedy et al., 2000; Additions to the Ammonite Fauna of the Upper Cretaceous Navesink Formation of New Jersey; Miller et al., 2017, Wilson Lake site; Esmeray-Senlet et al., 2018, Iridium profiles and delivery across the Cretaceous/Paleogene boundary",Marine,"Radiometric dating, biostratigraphy","Conflicting reports. Suggestion of older ammonites, but others suggest much shorter range. Appears to miss the K/Pg boundary slighty, although some cores suggest otherwise.",EC,,
Neslen,,76.27,75.64,0.1,0.1,"Fowler, 2017",Terrestrial/shallow marine,Biostratigraphy,Taken from base of D. Nebrascense to base of B. stevensoni. Approximate. Errors are guesses.,WI,,
New Egypt,,69.1,65.9,0.1,1,"Landman et al., 2004, Cephalopods from the Cretaceous/Tertiary boundary interval on the Atlantic Coastal Plain, with a description of the highest ammonite zones in North America. Part 2. Northeastern Monmouth County, New Jersey; Larine et al., 2016, Upper Maastrichtian ammonite biostratigraphy of the Gulf Coastal Plain (Mississippi Embayment, southern USA)",Shallow marine,"Magnetostratigraphy, biostratigraphy",Unsure of age of start of formation due to lack of age constraint on Discoscaphites conradi biozone,EC,,
Niobrara,Smoky Hill Chalk,89.32,81,0.5,0.24,"Locklair and Sageman, 2008, Cyclostratigraphy of the Upper Cretaceous Niobrara Formation, Western Interior, U.S.A.: A Coniacian–Santonian orbital timescale; Sageman et al., 2014, Integrating 40Ar/39Ar, U-Pb, and astronomical clocks in the Cretaceous Niobrara Formation, Western Interior Basin, USA",Marine,"Radiometric Dating, biostratigraphy, stratigraphy",Base has strong constraint due to radiometric date. Top unsure - based off ammonite biostrat should be middle lower Campanian.,WI,,
North Horn,Lower,70,67.5,0.5,0.5,"Fowler, 2017",Terrestrial,"Palynology, biostratigraphy",Age here taken for Cretaceous part of formation - also extends into Palaeogene following hiatus over the K/Pg boundary.,WI,,
Ojo Alamo,,69,65.688,0.2,1,"Fowler, 2017",Terrestrial,"Radiometric dating, magnetostratigraphy, biostratigraphy","Dating for base controversial. Here, followed Fowler's (2017) designation.",WI,,
Oldman,,79.52,77.03,0.2,0.3,"Fowler, 2017",Terrestrial,Radiometric dating,Top contact with Dinosaur Park formation well constrained by Radiometric date; basal contact inferred from radiometric date in equivalent Judith River Formation Coal Marker A.,WI,,
Packard Shale,,73,72,0.5,0.5,"González-León et al., 2017, Stratigraphy, geochronology and regional tectonic setting of the Late Cretaceous (ca. 82-70 Ma) Cabullona basin, Sonora, Mexico; Serrano-Brañas et al., 2016, A new ornithomimid dinosaur from the Upper Cretaceous Packard Shale formation (Cabullona Group) Sonora, México",Terrestrial,"Radiometric dating, palynology",Constrained to 72 Ma. in both studies - although radiometric dates show opposite way round in most recent study.,WC,,
Paluxy,,108.5,104.5,1,1,"Mancini and Puckett, 2005, Jurassic and Cretaceous Transgressive-Regressive (T-R) Cycles, Northern Gulf of Mexico, USA; Tanrikulu et al., 2017, Early Cretaceous (Albian) spores and pollen from the Glen Rose Formation of Texas and their significance for correlation of the Potomac Group",Terrestrial/shallow marine,Palynology,,GC,,
Patuxent,,125,113,2,2,"Hochuli et al, 2006, Timing of early angiosperm radiation: recalibrating the classical succession",Terrestrial,Palynology,Ages approximate - mostly based on stage level association with plant fauna in Portugal.,EC,,
Paw Paw,,104,100.5,1,1,"Lee, 1996, A New Nodosaurid Ankylosaur (Dinosauria: Ornithischia) from the Paw Paw Formation (Late Albian) of Texa",Marine,Stratigraphy,Constraint based on various stratigraphic relationships of other well dated formations. ,GC,,
Peedee,,69,66,1,1,"Watkins and Self-Trail, 2005; Calcareous nannofossil evidence for the existence of the Gulf Stream during the late Maastrichtian; Ciampaglio and Weaver, 2007, MAASTRICHTIAN (CRETACEOUS) REGULAR ECHINOIDS FROM THE ROCKEY POINT MEMBER, PEEDEE FORMATION SOUTHEASTERN NORTH CAROLINA",Terrestrial/shallow marine,Biostratigraphy,"Disagreements on positioning of Peedee within Maastrichtian. Suggestions of late Early-Mid, Mid-Late and Late - here have gone with most recent analysis from cores, which places towards end of Maastrichtrian. ",GC,,
Pierre Shale,,81,70,1,1,"Hicks et al., 1999, Magnetostratigraphy, isotopic age calibration and intercontinental correlation of the Red Bird section of the Pierre Shale, Niobrara County, Wyoming, USA",Marine,"Radiometric dating, biostratigraphy",Time transressive - have been conservative with both base and top age.,WI,,
Pinyon Conglomerate,,68.7,56,5,0.5,"Harris et al., 1996, Four-toed theropod footprints and a paleomagnetic age from the Whetstone Falls Member of the Harebell Formation (Upper Cretaceous : Maastrichtian) , northwestern Wyoming",Terrestrial,"Magnetostratigraphy, Biostratigraphy",Lowest date taken from Hypothesis 2 of Harris et al. (1996). Top taken as Paleocene (no more specific date found),WI,,
Point Loma,,76.5,71,2,2,"Loch, 1986, Paleoecology of an unusualy well-preserved West Coast Upper Cretaceous fossil deposit: Point Lomda Formation, Carlsbad, California",Marine,Biostratigraphy,"Very poor constrain. Suggested late Campanian to early Maastrichtian, but limited information available.",WC,,
Price River,,74.7,72,0.5,0.5,"Bartschi et al., 2018, Tectonic controls on Late Cretaceous sediment provenance and stratigraphic architecture in the Book Cliffs, Utah, GSA Bulletin, 130(11-12), 1763-1781; Roberts et al, 2005, 40Ar/39Ar age of the Kaiparowits Formation, southern Utah, and correlation of contemporaneous Campanian strata and vertebrate faunas along the margin of the Western Interior Basin, Cretaceous Research, 26(2), 307-318",Terrestrial,"Biostratigraphy, stratigraphy",Lower contact conformable with Castlegate sandstone - might require slight age adjustment (currently upper contact at 77 Ma rather than 74.7). Constrained by ammonite zones and stratigraphic correlation.,WI,,
Prince Creek,,79,60,3,3,"Mull et al., 2003, Revised Cretaceous and Tertiary Stratigraphic Nomenclature in the Colville Basin, Northern Alaska",Terrestrial,"Biostratigraphy, palynology","Ages poorly constrained - no distinct age limits. Note that dinosaur remains from this unit are early Maastrichtian in age (i.e. Conrad et al., 1992)",NWT,,
Raton,Lower Coal Zone,67.5,66,0,0.5,"Berry, 2016, Biostratigraphy of the Campanian-Maastrichtian, Mid-Maastrichtian, and Cretaceous-Tertiary boundaries in the Radon Basin: Implications for models of early Laramide tectonism and for the origin of the enigmatic Disurbed Zone, The Mountain Geologist, 53(2); Caneer et al., 2021, Tracks in the upper Cretaceous of the Raton basin possibly show Tyrannosaurid rising from a prone position, Fossil Record 7, New Mexico Museum of Natural history and Science Bulletin 82",Terrestrial,"Biostratigraphy, magnetostratigraphy, stratigraphic correlation","Dates well constrained across Raton basin by biostrat, stratigraphic correlation and magnetostratigraphy. Rest of formation Is Paleocene in age.",WI,,
Ringbone,,73,72,2,2,"Clinkscales and Lawton, 2015, Timing of Late Cretaceous shortening and basin development, Little Hatchet Mountains, southwestern New Mexico, USA - implications for regional Laramide tectonics",Terrestrial,Radiometric dating,Radiometric dates all report approx. 73 Ma. General info suggests somewhere between 70-75 Ma. ,WI,,
Ripley,McNairy Sand,70.6,69,1,1,"Ebersole, 2010, Biostratigraphy, paleogeography, and paleoenvironments of the Upper Cretaceous (Campanian) northern Mississippi Embayment; Ehret et al., 2016, Paleontology of the Cretaceous Coon Creek Formation",Marine,Palynology,"McNairy considered co-occurring with Coon Creek in terms of broad geography. In MO, only found in early Maas.",GC,,
Rock Springs,,83.2,81,0.5,0.5,"Dean et al., 2019, Regional scale paleobathymetry controlled location, but not magnitude, of dynamics in the mid Campanian Western Interior Seaway, USA; Plink-Bjorklund, 2008, Wave-to-tide facies change in a Campanian shoreline complex, Chimney Rock Tongue, Wyoming-Utah, U.S.A.; Leary et al., 2015, Fluvial deposition during transition from flexural to dynamic subsidence in the Cordilleran foreland basin: Ericson Formation, Western Wyoming, USA",Terrestrial/shallow marine,"Biostratigraphy, Radiometric dating, Sequence Stratigraphy",Top well constrained by biostrat and radiometric dating  -  base less so.,WI,,
San Carlos,,83.5,72,3,6,"Metz, 2000, Upper Cretaceous (Campanian) sequence and biostratigraphy, west Texas to east central Utah; and development of cold-seep mounds in the Western Interior Cretaceous Basin",Terrestrial/shallow marine,Biostratigraphy,Poorly constrained - appears to span entirety of Campanian at least. ,GC,,
Schrader Bluff,Upper,75,62,3,3,"Van Der Kolk et al., 2015, Paleoenvironmental Reconstruction of A Late Cretaceous, Muddy, River-Dominated Polar Deltaic System: Schrader Bluff–Prince Creek Formation Transition, Shivugak Bluffs, North Slope of Alaska, U.S.A., Journal of Sedimentary Research, 85(8), 903-936; LePain et al., 2021, MEASURED STRATIGRAPHIC SECTION IN THE UPPER SCHRADER BLUFF
FORMATION (LATE CAMPANIAN-MAASTRICHTIAN?), IVISHAK RIVER, ALASKA, Preliminary Interpretive Report 2021-3, State of Alaska Department of Natural Resources, Division of Geological and Geophysical Surveys",Shallow marine,"Biostratigraphy, Radiometric dating","Schrader Bluff formation stretches from Coniacian to Palaeocene - have here focussed on Upper member, which is approximately Campanian to Palaeocene. Is time transgressive, younging from SW to NE. ",NWT,,
Scollard,,66.97,64.667,0.1,0.5,"Brahman, 2018, Terrestrial palynostratigraphy of the Upper Cretaceous (Santonian) to lowermost Paleocene of southern Alberta, Canada; Fowler, 2017",Terrestrial,Radiometric dating; magnetostratigraphy,Top taken from Brahman (2018) using updated 28N chron from Ogg and Hinnov (2012). Base taken from radiometric date of Kneehills Tuff. May have slight variability/exhibit disconformity at base.,WI,,
Sedan,,84.5,73.75,0.5,1,"Skipp and McGrew, 1977, The Maudlow and Sedan Formations of the Upper Cretaceous Livingston Group on the West Edge of the Crazy Mountains Basin, Montana",Terrestrial,Biostratigraphy,"Ages taken off ammonite occurrences (Baculites cuneatus, between Desmo. And Scaphites hippocrepis), adapted dates from Ogg and Hinnov, 2016.",WI,,
Severn,,69,66.5,1,1,"Ross and Fastovsky, 2006, Trans-Atlantic Correlation of Upper Cretaceous
Marine Sediments",Marine,Biostratigraphy,Relatively weak constraint. Contains Jeletzkytes nebrascensis,EC,,
Shellenberger Canyon,,123,110,1,4,"Lucas and Dickinson, 2015, Lower Cretaceous bivalves and the extent of the Mural Transgression, Whetstone Mountains, Pima County, Arizona; Lucas and Heckert, 2005, Distribution, age, and correlation of Cretaceous Vertebrate fossils from Arizona",Terrestrial/shallow marine,"Biostratigraphy, stratigraphy",Marine incursion interval has date of 114 Ma. Base has poor constraint - no higher resolution that sub-stage (late Aptian),WC,,
St. Mary River,,71.814,66.97,0.1,0.125,"Fowler, 2017",Terrestrial,"Radiometric dating, magnetostratigraphy",,WI,,
Steel Creek,,69,66,1,1,"Schwimmer et al., 2015, A late Cretaceous dinosaur and reptile asemblage from South Carolina, USA, Transactions of the American Philosophical Society, 105(2), 1-157; Falls and Prowell, 2001, Overview of the Biostratigraphy and Paleoecology of Sediments from Five Course from Screven and Burke Counties, Georgia, Geology and Paleontology of Five Cores from Screven and Burke Counties, Eastern Georgia, 1-19",Terrestrial/shallow marine,"Biostratigraphy, stratigraphic correlation","Correlates directly with Peedee formation, so have followed associate Peedee age. ",GC,,
Summit Creek,,68.5,59.2,2,1,"Greenwood, 2010, How wet was the Arctic Eocene rain forest? Estimates of precipitation from Paleogene Arctic macrofloras; Bell, 2018, Biostratigraphy of Cretaceous and Paleogene Strata from Northern Yukon Territory and District of Mackenzie, Northwest Territories",Terrestrial,Palynology,Not hugely well constrained. Precise ages not possible.,NWT,,
Tango Creek,Tatlatui,83.5,66,5,5,"Bustin and McKenzie, 1989, Stratigraphy and depositional environments of the Sustut Group, southern Sustut Basin, north central British Columbia. Bulletin of Canadian Petroleum Geology, 37(2), 210-223; Arbour and Evans, 2019. A new leptoceratopsid dinosaur from Maastrichtian-aged deposits of the Sustut Basin, northern British Columbia, Canada. PeerJ, 7, 7926; Arbour et al. 2020. Cretaceous flora and fauna of the Sustut Group near the Sustut River, northern British Columbia, Canada. Canadian Journal of Earth Sciences, 57(6), 671-680.",Terrestrial,Palynology,"No well refined ages for this member - whole formation extends from Albian-Maastrichtian. Precise dates available for site of vertebrate material based on Palynology, equating to approx. 68.2-67.2 Ma.",NWT,,
Tar Heel,,83.5,77.1,0.5,0.5,"Slef-Trail et al., 2004, THE AGE OF DINOSAUR-BEARING STRATA AT PHOEBUS LANDING, CAPE FEAR RIVER, NORTH CAROLINA; Harris and Self-Trail, 2006, Late Cretaceous base level lowering in Campanian and Maastrichtian depositional sequences, Kure Beach, North Carolina; Longrich, 2016, A ceratopsian dinosaur from the Late Cretaceous of eastern North America, and implications for dinosaur biogeography",Terrestrial/shallow marine,Radiometric dating,,EC,,
Tornillo,Javelina,69,66,0.5,1,"Leslie et al., 2018, Revised age constraints for Late Cretaceous to early Paleocene terrestrial strata from the Dawson Creek section, Big Bend National Park, west Texas; Lehman et al., 2018, Stratigraphy and depositional history of the Tornillo Group (Upper Cretaceous–Eocene) of West Texas",Terrestrial,"Magnetostratigraphy, biostratigraphy","NOTE: Same as Javelina formation. grouped into Tornillo by Standhardt (1986). Currently under revision - Black Peaks ma not fall within Cretaceous at all. As such, all dinosaur remains would be part of the underlying Javelina formation. Leslie et al. (2018) identified as between C31 and Cr29. However, Lehman et al. (2018) claim that nearby dinosaur remains disregard this correlation. ",GC,,
Tropic Shale,,93.99,90.51,0.5,0.5,"Titus et al., 2005, Late Cretaceous stratigraphy, depositional environments, and macrovertebrate paleontology of the Kaiparowits Plateau, Grand Staircase–Escalante National Monument, Utah",Marine,"Radiometric dating, biostratigraphy",From Vascoceras diartianum to Prionocyclus hyatti,WI,,
Turney Ranch,,110,98,1,1,"D'Emic et al., 2016, Anatomy, systematics, paleoenvironment, growth, and age of the sauropod dinosaur Sonorasaurus thompsoni from the Cretaceous of Arizona, USA",Terrestrial,"Radiometric dating, stratigraphy",,WC,,
Twin Mountains,,126.3,108.5,1,5,"Winkler et al., 1990, Early Cretaceous (Comanchean) Vertebrates of Central Texas; Axsmith and Jacobs, 2005, The Conifer Frenelopsis ramosissima (Cheirolepidiaceae) in the Lower Cretaceous of Texas:
Systematic, Biogeographical, and Paleoecological Implications",Terrestrial/shallow marine,"Biostratigraphy, stratigraphy","Top constrained by overlying Paluxy Formation. Base not constrained at all - considered Aptian, but could potentially be older. ",GC,,
Two Medicine,,81.5,75.04,0.1,0.5,"Fowler, 2017",Terrestrial,"Radiometric dating, biostratigraphy","Well constrained at both top and base, although both potentially time transgressive.",WI,,
Wahweap,,81,76.5,0.5,1,"Albright and Titus, 2016, Magnetostratigraphy of Upper Cretaceous strata in Grand Staircase-Escalante National Monument, southern Utah: The Santonian–Campanian Stage boundary, reassessment of the C33N/C33R magnetochron boundary, and implications for regional sedimentation patterns within the Sevier Foreland Basin; ",Terrestrial,"Radiometric dating, magnetostratigraphy","Base well constrained, top estimated based on magnetostratigraphy and radiometric dating of above unit (Kaiparowitz)",WI,,
Wapiti,,79.1,67.6,0.4,0.5,"Fanti and Catuneanu, 2009, Stratigraphy of the Upper Cretaceous Wapiti Formation, west-central Alberta, Canada",Terrestrial,"Radiometric Dating, biostratigraphy, stratigraphy",,WI,,
Wayan,,101.8,95.5,4,4.8,"Krumenacker, 2010, Chronostratigraphy and Paleontology of the mid-Cretaceous Wayan Formation of Eastern Idaho, with a Description of the First Oryctodromeus Specimens from Idaho",Terrestrial,"Radiometric dating, biostratigraphy, palynology","Dating imprecise - large variation in potential ages, and noted that formation may be older due to lack of dating formations below.",WI,,
Wenonah/Mount Laurel,,71,69.4,0.5,0.5,"Sugarman et al, 1995, Uppermost Campanian–Maestrichtian strontium isotopic, biostratigraphic, and sequence stratigraphic framework of the New Jersey Coastal Plain",Marine,"Radiometric dating, biostratigraphy",Virtually co-eval with Wenonah formation - vary in proportions across NJ region.,EC,,
Whitemud,,68.2,68,0.1,0.1,"Eberth and Kamo, 2020, High-precision U–Pb CA–ID–TIMS dating and chronostratigraphy of the dinosaur-rich Horseshoe Canyon Formation (Upper Cretaceous, Campanian–Maastrichtian), Red Deer River valley, Alberta, Canada, Canadian Journal of Earth Sciences, 57(10), 1220–1237; Eberth and Braman, 2012, A revised stratigraphy and depositional history for the Horseshoe Canyon Formation (Upper Cretaceous), southern Alberta plains, Canadian Journal of Earth Sciences, 29, 1053-1086; Lerbekmo, 2009, Glacioeustatic sea level fall marking the base of supercycle TA-1 at 66.5 Ma recorded by the kaolinization of the Whitemud Formation and the Colgate Member of the Fox Hills Formation, Marine and Petroleum Geology, 26(7), 1299-1303; Broughton, 2022, Fruit taphonomy and origin of hollow goethite spherulites in lacustrine sediments of the Maastrichtian Whitemud Formation, western Canada, PalZ",Terrestrial,"Biostratigraphy, magnetostratigraphy","Definition of Whitemud is somewhat challening - has now become a member in Alberta, but remains a formation in Saskatchewan. Defined by high Kaolinite contnt - due to straigraphic wandering, has suggested to be a defined time horizon related to weathering of tuffs. Eberth and Kamo (2020) use magnetostratigraphy and biozones to date, following Lerbekmo (2009) who suggested a 200kyr length for this formation. ",WI,,
Williams Fork,,74.21,71.13,2,0.5,"Sullivan and Lucas, 2006, The Kirtlandian land-vertebrate “age”–faunal composition, temporal position and biostratigraphic correlation in the nonmarine Upper Cretaceous of western North America; Ogg and Hinnov, 2012, Chapter 28: The Cretaceous in: The Geologic Timescale; Fowler, 2017",Terrestrial,Biostratigraphy,"Based on ammonite zones (Didymoceras cheyennense to Baculite baculus), with dates changed due to Ogg and Hinnov (2012). Top boundary very unsure - could span longer period of time.",WI,,
Willow Creek,,66.97,64.667,0.1,0.5,"Brahman, 2018, Terrestrial palynostratigraphy of the Upper Cretaceous (Santonian) to lowermost Paleocene of southern Alberta, Canada; Fowler, 2017",Terrestrial,Radiometric dating; magnetostratigraphy,Top taken from Brahman (2018) using updated 28N chron from Ogg and Hinnov (2012). Base taken from radiometric date of Kneehills Tuff. May have slight variability/exhibit disconformity at base.,WI,,
Woodbine,,97.5,95.8,0.5,0.5,"Donovan et al., 2015, Chronostratigraphic relationships of the Woodbine and Eagle Ford Groups across Texas",Terrestrial/shallow marine,"Biostratigraphy, stratigraphy",From Acompsoceras inconstans to Plesiacanthoceras muldoonense,GC,,
Woodbury,,83.6,77.9,0.2,0.2,"Stringer et al., 2016, Woodbury Formation (Campanian) in New Jersey yields largest known Cretaceous otolith assemblage of teleostean fishes in North America",Shallow marine,"Palynology, biostratigraphy",Relatively weak constraint - only at sub-stage level. Potential error taken directly from paper. ,EC,,
